usuario,num_tweets,num_amigos,num_seguidores
Cooperativa,1216687,669836,3032942
soyvaldiviacl,248530,4486,16658
latercera,993420,220544,1985664
elmostrador,263011,179,1811157
JorgeIg35374759,1,36,0
me_ojedacatalan,54,28,2
Vaneza71436778,0,15,0
pochirry,4,13,4
karenishkavill1,0,39,0
ssanderssonnss,0,8,1
CarocaDarinka,0,56,2
Maclgos,51,302,7
EstellalunaJ,0,92,2
Cristob74116819,1,49,0
Kaguyasamadesu,15,84,2
JaimeFi57576687,12,37,1
Pabla2255102021,10086,6013,5528
aROMBriatqlIubW,0,35,1
RLopezgg,0,33,0
KarinaR44612458,0,105,0
MaraVil11903454,26,73,2
giovanni_veg,2,40,0
abogadosSalAlar,1,26,1
betocoddou,5419,1297,2869
casiope39868094,209,246,87
KateC23004619,1,21,0
FractalDy,4,478,2
LauraPe73061537,0,6,1
IgnacioBarriaO2,2,25,0
JRodherik,0,22,1
Carlos51108469,0,133,7
HectorC42220805,0,9,0
MarcelaBorque10,1,60,0
Eric06136638,4,37,0
PATRICIAGALLA12,4,64,0
Bianca02565864,3,27,2
AtencioBarra,0,38,7
Alfredoletras,294,1084,128
Vtk86981442,0,10,0
Sandra06928313,0,12,1
CatrilLeal,0,6,0
YasuriAraya,0,19,0
ClaudioRebolle7,0,34,7
AndresJ04682566,4,11,1
21_BEAST_,42,172,13
Atos51765915,0,9,0
ANDRES79502223,0,30,3
felipemzista,71,534,114
karin98155757,6,49,0
Patrici31628516,1,74,0
JRochaalcalde,112,904,141
Marielinda76,16,24,4
CarlosF58700258,2,35,1
GermanJGP,80,1823,479
AsteteAngela,320,242,42
Patricioaccurso,0,17,0
Barraza12Pamela,0,8,1
LDanays,0,121,0
MaikMai01754613,1,35,0
ChikitaToi,112,20,1
HenryGr93954546,0,52,1
QuintanillaRous,1,15,0
Paulopa98096229,0,42,0
MarceloFerrada9,3,30,0
icontreras2008,10598,1017,379
frncs58986069,0,12,0
civan_jerezz,169,216,19
ignaciajoustra5,144,376,103
Urmahcat,50,132,16
rsulaValdivia1,1,14,2
felipejuve31,54,125,13
Joserodrigoord8,340,34,10
arteurb86021060,0,78,1
Angeles85291119,0,25,2
VictorJesusOre1,3,21,0
Cristia12173338,1,16,2
Cristia89665327,0,49,3
Francis98618385,0,18,2
BarredaNikol,0,41,0
PanchoTapia13,2962,3761,741
MonicaC97980800,0,31,2
AnaVict68608276,0,57,2
Thiare74627474,0,5,0
jesusci08957577,0,32,0
carohoo1,8,69,0
CintiaBarriaT,0,17,0
AleNazco,1126,684,58
Mdjahed79124460,1,106,5
filun_gaston,67,106,2
elmer3161,131,61,9
negrismarce,95,99,23
maxilatrillerg1,0,34,0
Catalin99334958,1,14,0
DayanaV28994673,1,25,2
ValeriaSuazo18,0,24,0
Gilbertolavall1,17,657,5
G25Joce,4,88,6
Mari84308050,0,7,0
Nikit59559906,0,59,2
Aguilas010,42533,1227,264
tutimiranda,438,165,113
MiriamQueipul,14,55,2
Miky34097160,104,57,2
Oscar_Vid4,68,73,3
Lishaoran15,0,33,0
KevinAr10418521,0,2,0
AlejandraBack,0,15,0
PabloInfanteR,54,114,160
maccaburgos_,18,35,3
Victor44804607,0,28,0
Camila39732708,0,19,1
AlvaroMankeC,664,654,129
Medicenrod1,4,8,0
JPBR1980,0,41,4
nuezleslie1,0,7,0
FrancoM40217514,0,57,0
ncanihuantea,6,121,23
johannna2014,0,105,0
FouereSara,0,40,0
CiroG16,0,26,0
jeannet99724472,1,32,0
orangsandosi2,3575,4388,89
NelaLopez12,0,88,2
Faraendam,0,48,1
Felipe74408570,4,64,3
tanty1955,3,85,4
Susy83818637,2,10,1
NicolsB70836164,0,27,0
carlosm84784631,4,99,4
Yolanda85186128,3,19,0
DMEDIOS_CL,41,115,135
Patolin07979049,0,35,0
Felipe71988623,0,379,0
Franco197980,0,38,0
Jc44299481,2,28,0
Luis39874672,2,12,0
miikval29,269,297,7
fpizarromora,2634,1343,474
mawrse,213,203,22
Sebasti81295403,0,35,0
babic_catalina,0,99,1
ReinerFuentesF,90,674,79
Victor_Cerda_Vi,3,15,1
u_joseto,0,10,0
Vcky77630270,17,115,7
Claudio98454193,5,17,1
D_Navea,0,6,0
ContrerasSeitz,80,59,17
MaiteFuenzalid4,11,37,8
JavieraMC5,0,41,4
Ariel_alfonsooo,0,6,0
Alex62893914,2,25,0
RuthyMillar,1707,217,49
JoseTrato,0,11,0
Victor28120720,6,52,0
CamiloNS2,0,25,0
Wiwi694,0,108,1
Gerson07465461,0,11,0
Patrick89717030,185,68,5
Natalia64457099,0,29,0
robin_deric,9,1360,154
Yonatha69507659,0,253,15
Aliciq86313067,0,23,0
FelipeInsulza,1,21,1
johane_delgado,9,30,0
Alberto80081029,0,52,0
fefytahh,10,73,11
Fabin26884352,0,22,3
Cindi66916851,0,5,0
milenkagonzale3,0,4,1
MaRaquel19,5,69,0
Jacklin36421382,0,39,1
anaishe41331857,0,6,0
cristia84856369,0,30,2
untalthiele,57870,1930,1374
Melanie23554148,2,61,0
KarinCB,629,440,51
Jair58939026,0,6,0
PaulaXPenalolen,6,84,24
Patrici76204469,23,20,2
strellaerrante,840,157,18
_Dany_0n,0,125,1
AbigailSalasCa2,1,189,0
